ep,steps_taken,time_taken,rewards,epsilon
,,,,
0,687,4590,-3185.5,0.598
1,1014,6209,-2991.0,0.596
2,724,4486,-1908.0,0.594
3,4701,29487,-16960.0,0.592
4,333,2024,-1131.5,0.59
5,1177,7443,-4608.5,0.588
6,89,655,-215.5,0.586
7,253,1586,-894.5,0.584
8,102,654,-324.5,0.582
9,40,255,-251.0,0.58
10,34,221,-134.5,0.578
11,106,688,-405.5,0.576
12,228,1428,-1036.5,0.574
13,245,1537,-817.0,0.572
14,115,740,-531.5,0.57
15,2375,14940,-4425.5,0.568
16,250,1550,-460.0,0.566
17,459,2914,-951.0,0.564
18,328,2056,-497.0,0.5619999999999999
19,122,745,-256.5,0.5599999999999999
20,59,384,-253.0,0.5579999999999999
21,295,1966,-812.0,0.5559999999999999
22,41,255,-198.5,0.5539999999999999
23,60,386,-183.0,0.5519999999999999
24,182,1149,-668.0,0.5499999999999999
25,94,597,-161.0,0.5479999999999999
26,95,581,-337.0,0.5459999999999999
27,86,530,-305.0,0.5439999999999999
28,280,1779,-662.0,0.5419999999999999
29,115,727,-410.0,0.5399999999999999
30,407,2594,-1564.5,0.5379999999999999
31,63,399,-295.5,0.5359999999999999
32,228,1423,-748.5,0.5339999999999999
33,75,468,-234.0,0.5319999999999999
34,98,586,-394.0,0.5299999999999999
35,214,1359,-293.0,0.5279999999999999
36,252,1586,-418.0,0.5259999999999999
37,191,1258,-626.0,0.5239999999999999
38,81,493,-260.0,0.5219999999999999
39,59,359,-216.0,0.5199999999999999
40,86,542,-246.0,0.5179999999999999
41,92,568,-156.5,0.5159999999999999
42,75,486,-197.0,0.5139999999999999
43,62,381,-256.0,0.5119999999999999
44,72,465,-171.5,0.5099999999999999
45,244,1536,-653.0,0.5079999999999999
46,101,644,-376.0,0.5059999999999999
47,56,347,-136.5,0.5039999999999999
48,28,175,-85.5,0.5019999999999999
49,52,356,-97.5,0.4999999999999999
50,36,224,-93.5,0.4979999999999999
51,39,254,-119.0,0.4959999999999999
52,56,352,-155.5,0.4939999999999999
53,27,164,-88.5,0.4919999999999999
54,64,390,-169.0,0.4899999999999999
55,21,137,-22.0,0.4879999999999999
56,47,314,-146.0,0.4859999999999999
57,52,341,-173.0,0.4839999999999999
58,60,389,-84.5,0.4819999999999999
59,106,698,-348.0,0.47999999999999987
60,50,319,-73.5,0.47799999999999987
61,48,309,-109.0,0.47599999999999987
62,26,165,-63.5,0.47399999999999987
63,44,276,-180.0,0.47199999999999986
64,38,237,-135.0,0.46999999999999986
65,54,337,-233.5,0.46799999999999986
66,24,154,-28.0,0.46599999999999986
67,43,267,-106.0,0.46399999999999986
68,40,245,-66.0,0.46199999999999986
69,45,281,-105.5,0.45999999999999985
70,45,291,-127.0,0.45799999999999985
71,26,162,-105.0,0.45599999999999985
72,28,180,-70.5,0.45399999999999985
73,46,288,-109.0,0.45199999999999985
74,51,320,-115.5,0.44999999999999984
75,26,166,-47.0,0.44799999999999984
76,28,182,-106.0,0.44599999999999984
77,28,178,-106.0,0.44399999999999984
78,28,182,-12.0,0.44199999999999984
79,54,336,-197.0,0.43999999999999984
80,43,276,-86.5,0.43799999999999983
81,34,309,-95.5,0.43599999999999983
82,30,225,-32.5,0.43399999999999983
83,38,270,-117.5,0.43199999999999983
84,22,145,-24.0,0.4299999999999998
85,35,228,-77.5,0.4279999999999998
86,44,277,-124.5,0.4259999999999998
87,37,235,-41.0,0.4239999999999998
88,29,181,-110.0,0.4219999999999998
89,47,289,-71.0,0.4199999999999998
90,37,234,-117.0,0.4179999999999998
91,38,231,-41.5,0.4159999999999998
92,32,201,-109.5,0.4139999999999998
93,29,187,-30.0,0.4119999999999998
94,28,181,-68.5,0.4099999999999998
95,42,267,-276.0,0.4079999999999998
96,38,241,-62.5,0.4059999999999998
97,40,254,-25.5,0.4039999999999998
98,33,222,-56.0,0.4019999999999998
99,24,167,-26.0,0.3999999999999998
100,36,240,-153.5,0.3979999999999998
101,26,177,-84.5,0.3959999999999998
102,23,154,-5.5,0.3939999999999998
103,49,305,-95.0,0.3919999999999998
104,45,279,-221.5,0.3899999999999998
105,29,180,-11.0,0.3879999999999998
106,15,94,-34.0,0.3859999999999998
107,39,247,-157.0,0.3839999999999998
108,28,185,-31.5,0.3819999999999998
109,19,123,-3.0,0.3799999999999998
110,36,226,-38.5,0.3779999999999998
111,32,199,-75.5,0.3759999999999998
112,47,291,-129.5,0.3739999999999998
113,26,162,-46.5,0.3719999999999998
114,19,123,-39.0,0.3699999999999998
115,31,214,-15.5,0.36799999999999977
116,31,202,-33.5,0.36599999999999977
117,23,145,-4.0,0.36399999999999977
118,24,154,-5.5,0.36199999999999977
119,25,160,-47.5,0.35999999999999976
120,31,196,-36.0,0.35799999999999976
121,19,118,-1.0,0.35599999999999976
122,28,174,-29.0,0.35399999999999976
123,28,178,-51.5,0.35199999999999976
124,39,257,-64.0,0.34999999999999976
125,23,151,-44.5,0.34799999999999975
126,23,148,-62.5,0.34599999999999975
127,24,156,-27.0,0.34399999999999975
128,47,303,-167.0,0.34199999999999975
129,37,237,-174.0,0.33999999999999975
130,27,171,-48.5,0.33799999999999975
131,16,98,-74.0,0.33599999999999974
132,20,125,-2.0,0.33399999999999974
133,30,188,-50.0,0.33199999999999974
134,33,204,-75.5,0.32999999999999974
135,27,175,-10.0,0.32799999999999974
136,36,232,-59.5,0.32599999999999973
137,19,120,-36.5,0.32399999999999973
138,20,129,-40.5,0.32199999999999973
139,30,188,-108.5,0.31999999999999973
140,30,193,-107.5,0.3179999999999997
141,47,288,-170.0,0.3159999999999997
142,24,157,-26.0,0.3139999999999997
143,27,172,-29.0,0.3119999999999997
144,25,159,-46.5,0.3099999999999997
145,27,167,-50.0,0.3079999999999997
146,23,147,-5.0,0.3059999999999997
147,33,208,-76.0,0.3039999999999997
148,27,179,-67.0,0.3019999999999997
149,48,309,-147.5,0.2999999999999997
150,26,179,-9.5,0.2979999999999997
151,20,141,-57.0,0.2959999999999997
152,23,163,-25.0,0.2939999999999997
153,23,164,-25.5,0.2919999999999997
154,28,196,-107.5,0.2899999999999997
155,41,282,-104.0,0.2879999999999997
156,39,262,-82.5,0.2859999999999997
157,31,201,-13.5,0.2839999999999997
158,21,137,-22.5,0.2819999999999997
159,23,147,-25.0,0.2799999999999997
160,23,150,-3.5,0.2779999999999997
161,24,164,-25.0,0.2759999999999997
162,22,140,-22.5,0.2739999999999997
163,27,165,-105.5,0.2719999999999997
164,25,158,-26.5,0.2699999999999997
165,16,102,-73.5,0.2679999999999997
166,26,163,-66.5,0.2659999999999997
167,16,102,-35.0,0.2639999999999997
168,32,205,-54.0,0.2619999999999997
169,24,153,-46.0,0.2599999999999997
170,26,170,-26.5,0.2579999999999997
171,21,143,-3.0,0.2559999999999997
172,20,160,-21.0,0.25399999999999967
173,16,111,-33.5,0.25199999999999967
174,28,193,-30.5,0.24999999999999967
175,25,164,-83.5,0.24799999999999967
176,22,139,-25.5,0.24599999999999966
177,24,156,-25.0,0.24399999999999966
178,24,153,-7.5,0.24199999999999966
179,23,145,-6.5,0.23999999999999966
180,26,165,-47.5,0.23799999999999966
181,32,213,-53.0,0.23599999999999965
182,17,107,-74.0,0.23399999999999965
183,20,130,-39.5,0.23199999999999965
184,25,160,-25.5,0.22999999999999965
185,27,170,-28.0,0.22799999999999965
186,23,146,-24.0,0.22599999999999965
187,20,127,-2.5,0.22399999999999964
188,24,160,-46.0,0.22199999999999964
189,22,145,-4.0,0.21999999999999964
190,28,187,-30.0,0.21799999999999964
191,26,167,-27.5,0.21599999999999964
192,35,219,-114.5,0.21399999999999963
193,19,120,-57.5,0.21199999999999963
194,24,156,-26.0,0.20999999999999963
195,23,154,-5.5,0.20799999999999963
196,44,285,-67.5,0.20599999999999963
197,31,203,-12.5,0.20399999999999963
198,30,197,-12.5,0.20199999999999962
199,22,154,-23.0,0.19999999999999962
200,21,143,-21.0,0.19799999999999962
201,23,159,-83.0,0.19599999999999962
202,27,182,-10.0,0.19399999999999962
203,21,139,-23.5,0.19199999999999962
204,22,139,-24.5,0.1899999999999996
205,24,160,-5.0,0.1879999999999996
206,24,155,-7.5,0.1859999999999996
207,25,163,-7.5,0.1839999999999996
208,29,189,-32.5,0.1819999999999996
209,35,230,-76.5,0.1799999999999996
210,20,134,-21.5,0.1779999999999996
211,21,145,-21.5,0.1759999999999996
212,33,220,-56.5,0.1739999999999996
213,18,122,0.5,0.1719999999999996
214,19,127,-20.0,0.1699999999999996
215,25,162,-28.5,0.1679999999999996
216,25,166,-44.5,0.1659999999999996
217,21,142,-1.5,0.1639999999999996
218,39,253,-119.5,0.1619999999999996
219,26,172,-47.5,0.1599999999999996
220,21,134,-22.0,0.15799999999999959
221,30,191,-14.5,0.15599999999999958
222,20,131,-22.0,0.15399999999999958
223,24,163,-6.5,0.15199999999999958
224,16,105,-34.0,0.14999999999999958
225,18,116,-19.0,0.14799999999999958
226,18,118,-19.0,0.14599999999999957
227,30,191,-51.0,0.14399999999999957
228,26,166,-46.5,0.14199999999999957
229,20,130,-20.5,0.13999999999999957
230,23,147,-24.0,0.13799999999999957
231,23,151,-5.5,0.13599999999999957
232,18,116,0.5,0.13399999999999956
233,22,162,-3.5,0.13199999999999956
234,20,153,-1.5,0.12999999999999956
235,19,122,-1.5,0.12799999999999956
236,20,130,-21.0,0.12599999999999956
237,22,150,-3.5,0.12399999999999956
238,22,148,-24.0,0.12199999999999955
239,19,126,-20.0,0.11999999999999955
240,18,122,-19.0,0.11799999999999955
241,18,118,-38.0,0.11599999999999955
242,19,126,-1.0,0.11399999999999955
243,20,127,-2.5,0.11199999999999954
244,24,158,-9.0,0.10999999999999954
245,18,119,0.5,0.10799999999999954
246,19,120,-1.0,0.10599999999999954
247,22,140,-4.5,0.10399999999999954
248,22,140,-22.0,0.10199999999999954
249,20,130,-2.0,0.09999999999999953
250,20,135,-21.0,0.09799999999999953
251,18,120,-19.0,0.09599999999999953
252,22,146,-4.5,0.09399999999999953
253,19,127,0.0,0.09199999999999953
254,18,122,0.5,0.08999999999999952
255,20,134,-2.5,0.08799999999999952
256,21,135,-41.0,0.08599999999999952
257,22,145,-4.5,0.08399999999999952
258,20,124,-20.5,0.08199999999999952
259,18,116,0.5,0.07999999999999952
260,18,122,0.5,0.07799999999999951
261,20,137,-1.5,0.07599999999999951
262,20,132,-1.5,0.07399999999999951
263,20,131,-21.0,0.07199999999999951
264,18,115,-19.0,0.06999999999999951
265,19,162,0.0,0.0679999999999995
266,22,181,-22.0,0.0659999999999995
267,18,140,0.5,0.0639999999999995
268,21,147,-3.0,0.0619999999999995
269,24,164,-44.5,0.0599999999999995
270,19,139,-20.0,0.057999999999999496
271,19,139,-19.5,0.055999999999999495
272,18,128,0.5,0.05399999999999949
273,21,143,-22.0,0.05199999999999949
274,18,123,0.5,0.04999999999999949
275,20,128,-20.0,0.04799999999999949
276,18,116,0.5,0.045999999999999486
277,20,132,-2.5,0.043999999999999484
278,18,119,0.5,0.04199999999999948
279,19,124,-20.0,0.03999999999999948
280,18,114,-19.5,0.03799999999999948
281,18,119,0.5,0.03599999999999948
282,18,123,0.5,0.033999999999999475
283,18,125,0.5,0.03199999999999947
284,18,123,0.5,0.02999999999999947
285,18,126,0.5,0.02799999999999947
286,18,126,0.5,0.025999999999999468
287,19,132,0.0,0.023999999999999466
288,18,123,0.5,0.021999999999999464
289,18,118,0.5,0.019999999999999463
290,20,134,-1.5,0.01799999999999946
291,20,129,-2.0,0.01599999999999946
292,18,116,0.5,0.013999999999999459
293,18,119,0.5,0.011999999999999459
294,20,130,-1.5,0.01
295,18,119,0.5,0.01
296,20,133,-2.5,0.01
297,18,128,0.5,0.01
298,18,129,-19.0,0.01
299,18,123,0.5,0.01
