ep,steps_taken,time_taken,rewards,epsilon
,,,,
0,1659,12075,-4315.5,0.598
1,2721,20747,-7627.0,0.596
2,2543,19519,-9695.0,0.594
3,188,1419,-608.5,0.592
4,170,1332,-644.5,0.59
5,269,2054,-718.0,0.588
6,79,598,-298.0,0.586
7,679,5406,-1880.5,0.584
8,306,2432,-1026.5,0.582
9,82,615,-206.0,0.58
10,98,741,-375.0,0.578
11,146,1126,-492.5,0.576
12,47,366,-169.0,0.574
13,101,794,-191.0,0.572
14,56,433,-177.5,0.57
15,41,329,-196.5,0.568
16,302,2338,-532.0,0.566
17,249,1911,-426.0,0.564
18,1902,14853,-3078.0,0.5619999999999999
19,583,4596,-1868.5,0.5599999999999999
20,193,1513,-578.0,0.5579999999999999
21,77,579,-240.5,0.5559999999999999
22,411,3145,-1286.5,0.5539999999999999
23,63,485,-146.5,0.5519999999999999
24,55,399,-153.5,0.5499999999999999
25,40,311,-64.0,0.5479999999999999
26,133,1007,-359.5,0.5459999999999999
27,46,372,-125.5,0.5439999999999999
28,129,998,-224.0,0.5419999999999999
29,35,267,-131.5,0.5399999999999999
30,40,296,-118.5,0.5379999999999999
31,171,1357,-471.5,0.5359999999999999
32,122,922,-477.5,0.5339999999999999
33,73,550,-118.5,0.5319999999999999
34,132,992,-355.0,0.5299999999999999
35,42,319,-121.0,0.5279999999999999
36,16,123,-91.0,0.5259999999999999
37,47,373,-186.0,0.5239999999999999
38,97,748,-315.0,0.5219999999999999
39,45,335,-125.5,0.5199999999999999
40,68,521,-154.5,0.5179999999999999
41,60,460,-161.5,0.5159999999999999
42,45,359,-106.5,0.5139999999999999
43,70,541,-171.0,0.5119999999999999
44,49,369,-206.0,0.5099999999999999
45,42,330,-47.0,0.5079999999999999
46,62,478,-145.5,0.5059999999999999
47,35,270,-114.5,0.5039999999999999
48,28,215,-69.0,0.5019999999999999
49,40,307,-100.5,0.4999999999999999
50,49,375,-130.5,0.4979999999999999
51,35,285,-132.0,0.4959999999999999
52,34,285,-40.0,0.4939999999999999
53,47,369,-92.0,0.4919999999999999
54,35,285,-76.0,0.4899999999999999
55,22,184,-25.5,0.4879999999999999
56,43,357,-142.0,0.4859999999999999
57,53,448,-119.0,0.4839999999999999
58,25,195,-101.0,0.4819999999999999
59,33,257,-75.5,0.47999999999999987
60,53,418,-136.0,0.47799999999999987
61,36,283,-60.0,0.47599999999999987
62,50,383,-131.5,0.47399999999999987
63,41,326,-140.5,0.47199999999999986
64,23,175,-101.0,0.46999999999999986
65,16,122,-34.0,0.46799999999999986
66,47,403,-130.0,0.46599999999999986
67,35,273,-95.5,0.46399999999999986
68,28,225,-69.0,0.46199999999999986
69,26,208,-67.0,0.45999999999999985
70,38,293,-156.5,0.45799999999999985
71,30,253,-89.0,0.45599999999999985
72,36,285,-99.0,0.45399999999999985
73,34,268,-58.0,0.45199999999999985
74,38,292,-80.0,0.44999999999999984
75,37,288,-22.0,0.44799999999999984
76,27,209,-86.0,0.44599999999999984
77,47,359,-165.5,0.44399999999999984
78,28,228,-126.0,0.44199999999999984
79,43,377,-163.0,0.43999999999999984
80,26,228,-67.0,0.43799999999999983
81,26,216,-46.0,0.43599999999999983
82,61,468,-89.5,0.43399999999999983
83,43,331,-162.0,0.43199999999999983
84,36,275,-77.0,0.4299999999999998
85,48,373,-224.0,0.4279999999999998
86,19,145,-76.0,0.4259999999999998
87,28,212,-87.0,0.4239999999999998
88,40,315,-102.0,0.4219999999999998
89,33,264,-38.0,0.4199999999999998
90,17,139,-56.5,0.4179999999999998
91,51,390,-176.0,0.4159999999999998
92,35,269,-60.5,0.4139999999999998
93,28,213,-107.0,0.4119999999999998
94,34,263,-75.0,0.4099999999999998
95,33,261,-74.0,0.4079999999999998
96,22,177,-44.0,0.4059999999999998
97,18,149,-37.5,0.4039999999999998
98,20,170,-21.0,0.4019999999999998
99,41,335,-140.0,0.3999999999999998
100,40,313,-64.5,0.3979999999999998
101,43,340,-87.0,0.3959999999999998
102,29,230,-11.5,0.3939999999999998
103,33,291,-113.0,0.3919999999999998
104,18,147,-19.0,0.3899999999999998
105,45,366,-52.5,0.3879999999999998
106,31,240,-91.0,0.3859999999999998
107,28,219,-49.0,0.3839999999999998
108,32,249,-129.5,0.3819999999999998
109,26,203,-64.5,0.3799999999999998
110,22,186,-4.5,0.3779999999999998
111,20,161,-78.5,0.3759999999999998
112,30,232,-33.5,0.3739999999999998
113,31,244,-127.0,0.3719999999999998
114,17,132,-94.5,0.3699999999999998
115,29,229,-32.5,0.36799999999999977
116,23,178,-24.0,0.36599999999999977
117,28,213,-12.0,0.36399999999999977
118,30,245,-69.0,0.36199999999999977
119,38,307,-61.5,0.35999999999999976
120,28,227,-32.0,0.35799999999999976
121,38,298,-42.5,0.35599999999999976
122,28,247,-88.0,0.35399999999999976
123,25,202,-82.5,0.35199999999999976
124,34,263,-113.0,0.34999999999999976
125,29,229,-31.5,0.34799999999999975
126,34,265,-38.0,0.34599999999999975
127,34,274,-57.5,0.34399999999999975
128,37,292,-78.5,0.34199999999999975
129,21,169,-60.0,0.33999999999999975
130,33,266,-74.5,0.33799999999999975
131,26,222,-66.5,0.33599999999999974
132,15,134,-34.0,0.33399999999999974
133,24,197,-44.5,0.33199999999999974
134,23,190,-24.5,0.32999999999999974
135,20,173,-2.0,0.32799999999999974
136,18,153,0.0,0.32599999999999973
137,37,306,-137.0,0.32399999999999973
138,32,255,-52.5,0.32199999999999973
139,32,265,-56.0,0.31999999999999973
140,31,253,-129.5,0.3179999999999997
141,24,191,-64.5,0.3159999999999997
142,30,239,-70.5,0.3139999999999997
143,28,226,-125.5,0.3119999999999997
144,23,185,-24.5,0.3099999999999997
145,22,177,-60.5,0.3079999999999997
146,18,143,-56.0,0.3059999999999997
147,35,307,-133.0,0.3039999999999997
148,28,226,-30.0,0.3019999999999997
149,25,200,-45.0,0.2999999999999997
150,44,353,-162.5,0.2979999999999997
151,26,209,-64.5,0.2959999999999997
152,28,225,-67.5,0.2939999999999997
153,27,213,-29.5,0.2919999999999997
154,29,220,-34.0,0.2899999999999997
155,24,182,-24.5,0.2879999999999997
156,49,403,-90.0,0.2859999999999997
157,29,238,-87.0,0.2839999999999997
158,26,202,-67.0,0.2819999999999997
159,46,340,-91.5,0.2799999999999997
160,29,228,-15.0,0.2779999999999997
161,27,224,-12.5,0.2759999999999997
162,20,167,-1.5,0.2739999999999997
163,25,202,-46.0,0.2719999999999997
164,31,250,-35.0,0.2699999999999997
165,33,269,-36.5,0.2679999999999997
166,23,190,-82.0,0.2659999999999997
167,28,216,-107.0,0.2639999999999997
168,25,189,-28.5,0.2619999999999997
169,33,261,-54.0,0.2599999999999997
170,23,193,-25.0,0.2579999999999997
171,30,252,-32.5,0.2559999999999997
172,30,244,-52.5,0.25399999999999967
173,25,206,-63.5,0.25199999999999967
174,32,260,-91.0,0.24999999999999967
175,28,239,-68.0,0.24799999999999967
176,19,164,-38.5,0.24599999999999966
177,25,215,-27.0,0.24399999999999966
178,20,175,-40.5,0.24199999999999966
179,23,211,-25.0,0.23999999999999966
180,23,191,-24.5,0.23799999999999966
181,23,185,-62.5,0.23599999999999965
182,31,246,-75.0,0.23399999999999965
183,30,232,-51.5,0.23199999999999965
184,25,200,-46.0,0.22999999999999965
185,16,130,-35.5,0.22799999999999965
186,27,217,-29.5,0.22599999999999965
187,23,190,-25.0,0.22399999999999964
188,34,282,-58.0,0.22199999999999964
189,27,224,-30.0,0.21999999999999964
190,26,211,-67.0,0.21799999999999964
191,22,183,-23.0,0.21599999999999964
192,25,220,-27.5,0.21399999999999963
193,29,235,-51.0,0.21199999999999963
194,21,172,-23.5,0.20999999999999963
195,31,250,-34.5,0.20799999999999963
196,23,181,-24.0,0.20599999999999963
197,25,196,-27.0,0.20399999999999963
198,22,188,-5.5,0.20199999999999962
199,24,194,-24.5,0.19999999999999962
200,18,151,0.0,0.19799999999999962
201,27,220,-47.5,0.19599999999999962
202,28,219,-13.0,0.19399999999999962
203,25,224,-7.5,0.19199999999999962
204,23,192,-25.5,0.1899999999999996
205,26,215,-27.5,0.1879999999999996
206,20,163,-21.5,0.1859999999999996
207,14,111,-32.5,0.1839999999999996
208,23,188,-24.5,0.1819999999999996
209,19,167,-20.0,0.1799999999999996
210,23,192,-42.5,0.1779999999999996
211,18,149,-19.0,0.1759999999999996
212,20,167,-1.5,0.1739999999999996
213,24,193,-7.5,0.1719999999999996
214,19,161,-20.0,0.1699999999999996
215,24,195,-45.0,0.1679999999999996
216,28,232,-50.0,0.1659999999999996
217,25,228,-25.5,0.1639999999999996
218,21,190,-22.0,0.1619999999999996
219,17,179,-35.0,0.1599999999999996
220,29,259,-51.5,0.15799999999999959
221,22,193,-4.0,0.15599999999999958
222,20,178,-2.0,0.15399999999999958
223,18,160,-38.0,0.15199999999999958
224,23,203,-26.0,0.14999999999999958
225,18,154,0.0,0.14799999999999958
226,21,181,-22.5,0.14599999999999957
227,22,190,-4.5,0.14399999999999957
228,25,215,-64.5,0.14199999999999957
229,21,184,-42.5,0.13999999999999957
230,23,188,-62.0,0.13799999999999957
231,20,165,-22.0,0.13599999999999957
232,20,161,-21.0,0.13399999999999956
233,19,155,-1.5,0.13199999999999956
234,20,161,-21.5,0.12999999999999956
235,18,152,0.5,0.12799999999999956
236,25,202,-26.0,0.12599999999999956
237,22,184,-2.5,0.12399999999999956
238,25,214,-25.0,0.12199999999999955
239,20,159,-20.0,0.11999999999999955
240,21,170,-3.0,0.11799999999999955
241,22,178,-4.5,0.11599999999999955
242,18,151,0.0,0.11399999999999955
243,22,181,-3.5,0.11199999999999954
244,17,145,-37.0,0.10999999999999954
245,24,217,-26.0,0.10799999999999954
246,18,154,0.5,0.10599999999999954
247,23,189,-24.5,0.10399999999999954
248,18,150,0.5,0.10199999999999954
249,25,198,-25.0,0.09999999999999953
250,20,158,-1.0,0.09799999999999953
251,21,171,-2.5,0.09599999999999953
252,26,212,-85.0,0.09399999999999953
253,20,161,-21.5,0.09199999999999953
254,21,170,-2.0,0.08999999999999952
255,21,169,-3.5,0.08799999999999952
256,29,230,-51.5,0.08599999999999952
257,18,150,-0.5,0.08399999999999952
258,20,167,-21.0,0.08199999999999952
259,18,151,0.5,0.07999999999999952
260,21,174,-3.0,0.07799999999999951
261,22,176,-3.5,0.07599999999999951
262,21,168,-1.0,0.07399999999999951
263,20,164,-1.5,0.07199999999999951
264,22,189,-4.5,0.06999999999999951
265,18,150,0.5,0.0679999999999995
266,18,158,0.5,0.0659999999999995
267,18,150,0.5,0.0639999999999995
268,21,166,-22.0,0.0619999999999995
269,20,160,-1.5,0.0599999999999995
270,19,156,0.0,0.057999999999999496
271,19,155,0.0,0.055999999999999495
272,18,146,0.0,0.05399999999999949
273,19,160,-20.5,0.05199999999999949
274,18,146,0.5,0.04999999999999949
275,18,148,0.5,0.04799999999999949
276,18,153,-19.5,0.045999999999999486
277,21,172,-3.0,0.043999999999999484
278,24,199,-45.5,0.04199999999999948
279,18,149,0.5,0.03999999999999948
280,19,158,0.0,0.03799999999999948
281,19,156,0.0,0.03599999999999948
282,20,175,-21.0,0.033999999999999475
283,18,153,0.5,0.03199999999999947
284,18,156,0.5,0.02999999999999947
285,19,162,0.0,0.02799999999999947
286,19,158,0.0,0.025999999999999468
287,18,152,0.5,0.023999999999999466
288,18,158,0.5,0.021999999999999464
289,18,153,0.5,0.019999999999999463
290,18,148,-19.0,0.01799999999999946
291,18,148,0.5,0.01599999999999946
292,18,148,0.5,0.013999999999999459
293,18,145,0.5,0.011999999999999459
294,18,151,0.5,0.01
295,19,163,0.0,0.01
296,18,149,0.5,0.01
297,18,149,0.5,0.01
298,18,149,0.5,0.01
299,18,149,0.5,0.01
