ep,steps_taken,time_taken,rewards,epsilon
,,,,
0,636,3078,-1464.5,0.598
1,124,688,-367.0,0.596
2,844,4498,-2212.0,0.594
3,608,3163,-1770.5,0.592
4,874,4693,-1780.0,0.59
5,78,407,-126.5,0.588
6,22,113,-137.5,0.586
7,120,651,-347.5,0.584
8,300,1679,-1170.5,0.582
9,228,1222,-1014.5,0.58
10,87,446,-349.0,0.578
11,67,352,-188.5,0.576
12,60,309,-202.0,0.574
13,85,440,-232.5,0.572
14,65,343,-132.5,0.57
15,49,283,-187.5,0.568
16,149,810,-315.0,0.566
17,70,371,-135.5,0.564
18,50,262,-249.5,0.5619999999999999
19,113,597,-454.0,0.5599999999999999
20,90,471,-505.0,0.5579999999999999
21,60,333,-188.0,0.5559999999999999
22,58,317,-295.0,0.5539999999999999
23,92,488,-359.0,0.5519999999999999
24,38,208,-41.0,0.5499999999999999
25,66,339,-437.5,0.5479999999999999
26,31,165,-73.0,0.5459999999999999
27,139,750,-570.5,0.5439999999999999
28,55,289,-178.0,0.5419999999999999
29,79,412,-239.5,0.5399999999999999
30,57,323,-179.0,0.5379999999999999
31,67,351,-79.5,0.5359999999999999
32,27,141,-144.5,0.5339999999999999
33,67,353,-155.5,0.5319999999999999
34,64,336,-245.0,0.5299999999999999
35,148,786,-555.5,0.5279999999999999
36,41,218,-49.0,0.5259999999999999
37,55,289,-66.0,0.5239999999999999
38,52,275,-174.5,0.5219999999999999
39,37,193,-155.0,0.5199999999999999
40,49,253,-111.5,0.5179999999999999
41,48,267,-204.5,0.5159999999999999
42,101,528,-400.0,0.5139999999999999
43,41,213,-120.5,0.5119999999999999
44,32,167,-35.0,0.5099999999999999
45,24,122,-45.0,0.5079999999999999
46,63,327,-187.0,0.5059999999999999
47,36,190,-60.0,0.5039999999999999
48,19,103,-39.5,0.5019999999999999
49,45,244,-89.0,0.4999999999999999
50,29,153,-145.5,0.4979999999999999
51,31,166,-90.5,0.4959999999999999
52,80,436,-303.0,0.4939999999999999
53,54,297,-173.5,0.4919999999999999
54,33,188,-20.0,0.4899999999999999
55,42,226,-160.5,0.4879999999999999
56,41,224,-64.5,0.4859999999999999
57,49,281,-208.0,0.4839999999999999
58,37,207,-100.0,0.4819999999999999
59,30,166,-146.5,0.47999999999999987
60,29,165,-31.5,0.47799999999999987
61,44,241,-127.0,0.47599999999999987
62,80,418,-301.5,0.47399999999999987
63,30,155,-53.5,0.47199999999999986
64,35,182,-134.5,0.46999999999999986
65,59,311,-218.5,0.46799999999999986
66,52,274,-116.5,0.46599999999999986
67,38,202,-98.5,0.46399999999999986
68,47,275,-53.5,0.46199999999999986
69,24,127,-82.5,0.45999999999999985
70,36,187,-98.0,0.45799999999999985
71,39,207,-62.5,0.45599999999999985
72,21,111,-42.0,0.45399999999999985
73,29,150,-53.5,0.45199999999999985
74,23,120,-84.0,0.44999999999999984
75,31,169,-38.0,0.44799999999999984
76,41,231,-66.0,0.44599999999999984
77,19,110,-76.0,0.44399999999999984
78,82,431,-340.5,0.44199999999999984
79,33,170,-55.5,0.43999999999999984
80,60,314,-125.0,0.43799999999999983
81,43,233,-124.0,0.43599999999999983
