ep,steps_taken,time_taken,rewards,epsilon
,,,,
0,26,239,-273.5,0.598
1,27,12,-201.5,0.596
2,23,12,-232.5,0.594
3,32,15,-114.0,0.592
4,24,285,-254.0,0.59
5,245,1809,-902.5,0.588
6,1782,12718,-3652.5,0.586
7,600,4325,-1201.0,0.584
8,269,2007,-738.0,0.582
9,139,1037,-349.5,0.58
10,108,804,-278.5,0.578
11,322,2378,-1230.0,0.576
12,231,1653,-683.0,0.574
13,160,1148,-541.0,0.572
14,165,1170,-357.5,0.57
15,95,683,-276.0,0.568
16,143,1069,-386.5,0.566
17,109,786,-332.5,0.564
18,43,313,-123.0,0.5619999999999999
19,228,1645,-679.5,0.5599999999999999
20,59,416,-385.5,0.5579999999999999
21,86,647,-228.5,0.5559999999999999
22,113,800,-259.5,0.5539999999999999
23,121,898,-343.5,0.5519999999999999
24,85,614,-514.0,0.5499999999999999
25,57,404,-213.0,0.5479999999999999
26,51,364,-189.0,0.5459999999999999
27,100,697,-283.5,0.5439999999999999
28,38,271,-100.0,0.5419999999999999
29,1431,10470,-5462.5,0.5399999999999999
30,25,185,-84.5,0.5379999999999999
31,127,1006,-413.0,0.5359999999999999
32,361,2715,-772.5,0.5339999999999999
33,226,1657,-764.5,0.5319999999999999
34,63,444,-187.5,0.5299999999999999
35,72,534,-216.0,0.5279999999999999
36,30,219,-165.0,0.5259999999999999
37,135,986,-275.0,0.5239999999999999
38,233,1656,-748.0,0.5219999999999999
39,33,232,-132.0,0.5199999999999999
40,170,1208,-690.5,0.5179999999999999
41,57,428,-82.5,0.5159999999999999
42,103,758,-439.5,0.5139999999999999
43,87,652,-220.5,0.5119999999999999
44,139,997,-613.0,0.5099999999999999
45,70,504,-210.5,0.5079999999999999
46,79,571,-523.0,0.5059999999999999
47,209,1549,-523.5,0.5039999999999999
48,93,706,-260.0,0.5019999999999999
49,133,979,-455.5,0.4999999999999999
50,53,378,-268.5,0.4979999999999999
51,53,384,-193.0,0.4959999999999999
52,53,384,-153.5,0.4939999999999999
53,50,367,-187.0,0.4919999999999999
54,54,395,-138.5,0.4899999999999999
55,36,265,-58.0,0.4879999999999999
56,56,423,-158.0,0.4859999999999999
57,61,461,-221.5,0.4839999999999999
58,47,371,-31.5,0.4819999999999999
59,41,317,-122.0,0.47999999999999987
60,43,330,-125.0,0.47799999999999987
61,62,485,-126.0,0.47599999999999987
62,39,279,-82.0,0.47399999999999987
63,47,341,-184.5,0.47199999999999986
64,32,235,-112.0,0.46999999999999986
65,29,214,-31.0,0.46799999999999986
66,25,189,-63.5,0.46599999999999986
67,32,236,-36.0,0.46399999999999986
68,22,170,-61.0,0.46199999999999986
69,37,275,-117.0,0.45999999999999985
70,25,184,-64.5,0.45799999999999985
71,25,192,-84.5,0.45599999999999985
72,33,270,-36.5,0.45399999999999985
73,35,264,-97.5,0.45199999999999985
74,38,277,-41.5,0.44999999999999984
75,42,302,-26.5,0.44799999999999984
76,42,301,-48.0,0.44599999999999984
77,51,369,-210.0,0.44399999999999984
78,48,349,-94.0,0.44199999999999984
79,33,240,-35.5,0.43999999999999984
80,29,212,-67.5,0.43799999999999983
81,54,386,-193.5,0.43599999999999983
82,34,236,-39.5,0.43399999999999983
83,63,457,-335.0,0.43199999999999983
84,62,453,-163.0,0.4299999999999998
85,35,251,-74.0,0.4279999999999998
86,26,192,-45.5,0.4259999999999998
87,32,234,-55.5,0.4239999999999998
88,39,277,-43.0,0.4219999999999998
89,54,388,-251.0,0.4199999999999998
90,40,300,-27.0,0.4179999999999998
91,26,193,-10.5,0.4159999999999998
92,33,244,-74.5,0.4139999999999998
93,82,623,-340.5,0.4119999999999998
94,19,141,-57.5,0.4099999999999998
95,34,259,-75.5,0.4079999999999998
96,25,182,-66.0,0.4059999999999998
97,34,294,-36.5,0.4039999999999998
98,36,315,-59.0,0.4019999999999998
99,50,383,-225.5,0.3999999999999998
100,33,253,-19.0,0.3979999999999998
101,32,242,-56.5,0.3959999999999998
102,25,185,-84.5,0.3939999999999998
103,64,463,-207.0,0.3919999999999998
104,34,272,-55.0,0.3899999999999998
105,43,343,-31.0,0.3879999999999998
106,25,192,-68.0,0.3859999999999998
107,31,241,-73.0,0.3839999999999998
108,24,178,-23.5,0.3819999999999998
109,58,424,-158.0,0.3799999999999998
110,41,301,-105.0,0.3779999999999998
111,22,175,-22.0,0.3759999999999998
112,33,240,-128.0,0.3739999999999998
113,39,299,-81.0,0.3719999999999998
114,56,410,-139.5,0.3699999999999998
115,26,189,-30.0,0.36799999999999977
116,25,185,-46.0,0.36599999999999977
117,38,272,-60.5,0.36399999999999977
118,37,272,-118.5,0.36199999999999977
119,30,220,-90.5,0.35999999999999976
120,25,183,-47.0,0.35799999999999976
121,31,226,-110.0,0.35599999999999976
122,25,191,-26.0,0.35399999999999976
123,24,185,-46.5,0.35199999999999976
124,26,197,-29.0,0.34999999999999976
125,28,204,-106.0,0.34799999999999975
126,30,217,-34.5,0.34599999999999975
127,37,270,-22.0,0.34399999999999975
128,36,267,-56.0,0.34199999999999975
129,23,168,-43.5,0.33999999999999975
130,43,437,-140.0,0.33799999999999975
131,34,266,-74.5,0.33599999999999974
132,40,292,-123.0,0.33399999999999974
133,46,344,-145.0,0.33199999999999974
134,30,229,-72.5,0.32999999999999974
135,27,201,-67.5,0.32799999999999974
136,30,223,-90.0,0.32599999999999973
137,30,218,-32.5,0.32399999999999973
138,21,151,-24.0,0.32199999999999973
139,28,202,-87.5,0.31999999999999973
140,47,347,-129.0,0.3179999999999997
141,25,188,-8.0,0.3159999999999997
142,24,175,-7.5,0.3139999999999997
143,27,196,-87.0,0.3119999999999997
144,32,236,-73.5,0.3099999999999997
145,29,215,-29.0,0.3079999999999997
146,26,215,-28.5,0.3059999999999997
147,33,237,-55.0,0.3039999999999997
148,28,207,-29.0,0.3019999999999997
149,41,302,-63.5,0.2999999999999997
150,25,182,-27.0,0.2979999999999997
151,30,225,-33.0,0.2959999999999997
152,22,172,-3.0,0.2939999999999997
153,23,168,-63.0,0.2919999999999997
154,27,201,-47.5,0.2899999999999997
155,40,292,-139.5,0.2879999999999997
156,26,205,-29.5,0.2859999999999997
157,31,232,-54.5,0.2839999999999997
158,23,170,-42.5,0.2819999999999997
159,22,161,-24.0,0.2799999999999997
160,27,191,-9.0,0.2779999999999997
161,29,213,-69.0,0.2759999999999997
162,46,340,-128.0,0.2739999999999997
163,32,238,-53.5,0.2719999999999997
164,22,168,-41.5,0.2699999999999997
165,29,213,-71.0,0.2679999999999997
166,21,156,-3.5,0.2659999999999997
167,26,195,-27.0,0.2639999999999997
168,18,130,-77.5,0.2619999999999997
169,27,204,-67.5,0.2599999999999997
170,27,196,-47.5,0.2579999999999997
171,24,181,-24.5,0.2559999999999997
172,19,146,0.0,0.25399999999999967
173,27,210,-9.5,0.25199999999999967
174,27,204,-29.0,0.24999999999999967
175,23,177,-22.5,0.24799999999999967
176,59,441,-177.5,0.24599999999999966
177,20,156,-21.5,0.24399999999999966
178,14,110,-51.5,0.24199999999999966
179,23,179,-6.0,0.23999999999999966
180,36,279,-77.0,0.23799999999999966
181,25,199,-64.0,0.23599999999999965
182,23,170,-43.0,0.23399999999999965
183,21,155,-3.0,0.23199999999999965
184,21,160,-4.5,0.22999999999999965
185,26,193,-46.5,0.22799999999999965
186,19,135,-76.5,0.22599999999999965
187,30,213,-69.0,0.22399999999999964
188,20,154,-20.5,0.22199999999999964
189,28,207,-30.5,0.21999999999999964
190,25,186,-66.0,0.21799999999999964
191,22,168,-23.5,0.21599999999999964
192,18,139,-19.0,0.21399999999999963
193,29,222,-12.5,0.21199999999999963
194,20,155,-2.0,0.20999999999999963
195,24,178,-7.0,0.20799999999999963
196,21,175,-41.5,0.20599999999999963
197,23,168,-63.5,0.20399999999999963
198,33,250,-54.5,0.20199999999999962
199,29,218,-107.5,0.19999999999999962
200,28,204,-28.0,0.19799999999999962
201,27,200,-29.5,0.19599999999999962
202,19,140,-0.5,0.19399999999999962
203,34,244,-151.0,0.19199999999999962
204,24,178,-25.5,0.1899999999999996
205,21,159,-3.5,0.1879999999999996
206,21,159,-22.5,0.1859999999999996
207,27,204,-48.5,0.1839999999999996
208,30,240,-70.0,0.1819999999999996
209,23,184,-23.5,0.1799999999999996
210,24,182,-25.0,0.1779999999999996
211,22,166,-23.0,0.1759999999999996
212,27,205,-30.5,0.1739999999999996
213,21,164,-2.0,0.1719999999999996
214,22,171,-23.5,0.1699999999999996
215,24,187,-63.5,0.1679999999999996
216,22,180,-23.5,0.1659999999999996
217,23,173,-63.0,0.1639999999999996
218,27,193,-10.5,0.1619999999999996
219,20,144,-21.5,0.1599999999999996
220,23,174,-26.0,0.15799999999999959
221,20,155,-22.5,0.15599999999999958
222,23,176,-43.5,0.15399999999999958
223,19,159,-20.5,0.15199999999999958
224,19,147,-0.5,0.14999999999999958
225,18,139,-18.5,0.14799999999999958
226,18,139,-55.5,0.14599999999999957
227,25,204,-26.5,0.14399999999999957
228,23,181,-5.0,0.14199999999999957
229,18,142,-19.5,0.13999999999999957
230,21,159,-4.0,0.13799999999999957
231,18,142,-19.0,0.13599999999999957
232,23,187,-5.0,0.13399999999999956
233,21,173,-2.5,0.13199999999999956
234,20,157,-2.5,0.12999999999999956
235,22,167,-4.5,0.12799999999999956
236,25,190,-25.5,0.12599999999999956
237,26,194,-26.5,0.12399999999999956
238,20,148,-22.0,0.12199999999999955
239,21,162,-60.0,0.11999999999999955
240,21,159,-61.0,0.11799999999999955
241,19,149,-1.0,0.11599999999999955
242,22,166,-3.0,0.11399999999999955
243,18,138,-1.0,0.11199999999999954
244,21,164,-2.0,0.10999999999999954
245,21,160,-2.5,0.10799999999999954
246,36,273,-39.0,0.10599999999999954
247,54,465,-35.0,0.10399999999999954
248,33,271,-35.5,0.10199999999999954
249,21,179,-22.5,0.09999999999999953
250,22,198,-42.0,0.09799999999999953
251,24,184,-26.0,0.09599999999999953
252,18,144,0.0,0.09399999999999953
253,18,139,-19.5,0.09199999999999953
254,18,136,0.5,0.08999999999999952
255,23,170,-81.0,0.08799999999999952
256,21,154,-21.5,0.08599999999999952
257,22,165,-2.5,0.08399999999999952
258,20,149,-20.0,0.08199999999999952
259,29,217,-32.0,0.07999999999999952
260,19,144,-1.5,0.07799999999999951
261,22,168,-23.0,0.07599999999999951
262,20,150,-20.5,0.07399999999999951
263,20,148,-20.5,0.07199999999999951
264,19,143,-0.5,0.06999999999999951
265,19,144,0.0,0.0679999999999995
266,21,154,-22.0,0.0659999999999995
267,18,135,0.5,0.0639999999999995
268,20,149,-40.0,0.0619999999999995
269,18,136,0.5,0.0599999999999995
270,18,134,0.5,0.057999999999999496
271,23,172,-62.0,0.055999999999999495
272,18,143,0.5,0.05399999999999949
273,18,141,0.5,0.05199999999999949
274,20,154,-21.0,0.04999999999999949
275,19,142,0.0,0.04799999999999949
276,22,164,-23.5,0.045999999999999486
277,19,146,0.0,0.043999999999999484
278,19,145,-1.5,0.04199999999999948
279,18,139,0.5,0.03999999999999948
280,18,137,0.5,0.03799999999999948
281,20,158,-2.5,0.03599999999999948
282,18,139,0.5,0.033999999999999475
283,18,143,0.0,0.03199999999999947
284,19,143,0.0,0.02999999999999947
285,18,139,0.5,0.02799999999999947
286,18,139,0.5,0.025999999999999468
287,18,138,0.0,0.023999999999999466
288,19,147,0.0,0.021999999999999464
289,18,137,0.5,0.019999999999999463
290,19,146,-19.0,0.01799999999999946
291,18,142,0.5,0.01599999999999946
292,21,168,-2.5,0.013999999999999459
293,18,147,0.0,0.011999999999999459
294,19,160,-0.5,0.01
295,20,160,-1.5,0.01
296,19,147,0.0,0.01
297,18,143,0.5,0.01
298,18,143,0.5,0.01
299,19,151,0.0,0.01
