ep_no,steps_taken,time_taken,rewards
,,,
0,2145,35031,-6981.5
1,2012,35439,-5621.0
2,1142,20177,-3801.0
3,196,3714,-548.5
4,456,7872,-1720.0
5,528,9881,-1631.5
6,64,1138,-148.5
7,743,12968,-1439.0
8,1319,23824,-3664.0
9,389,6797,-1196.5
10,4818,85767,-11287.5
11,732,12675,-1485.0
12,1000,18129,-1795.5
13,3602,64253,-6976.5
14,988,17221,-1738.5
15,1599,28425,-2623.5
16,406,6987,-1069.0
17,166,2905,-507.0
18,547,9895,-1313.5
19,227,3925,-409.0
20,63,1096,-166.0
21,677,11586,-2002.5
22,87,1490,-326.0
23,296,5136,-614.0
24,54,1031,-79.5
25,115,2490,-262.0
26,101,1773,-251.0
27,183,3234,-563.5
28,280,4892,-1064.5
29,87,1515,-150.5
30,130,2367,-407.5
31,171,3005,-389.5
32,142,2435,-345.5
33,285,5054,-953.5
34,125,2192,-397.0
35,147,2526,-527.0
36,119,2648,-285.0
37,133,2463,-581.5
38,58,1167,-198.0
39,342,6113,-1175.0
40,355,6339,-1357.0
41,52,920,-264.5
42,87,1538,-215.5
43,112,2002,-259.5
44,246,4356,-855.0
45,232,4069,-764.0
46,161,3316,-427.5
47,68,1217,-227.0
48,36,638,-93.5
49,96,1680,-351.0
50,193,3351,-668.0
51,84,1469,-133.5
52,111,1965,-100.0
53,70,1219,-113.0
54,221,3876,-469.5
55,31,540,-108.0
56,81,1407,-166.5
57,189,3330,-490.5
58,910,16625,-1542.5
59,285,5108,-595.5
60,210,3631,-439.5
61,668,12152,-1170.0
62,167,3168,-384.5
63,919,17107,-1517.0
64,197,3494,-297.5
65,156,2791,-229.5
66,158,2799,-224.5
67,522,9564,-906.0
68,1561,27956,-2502.0
69,1734,31201,-3048.0
70,2433,44258,-3875.5
71,550,9748,-1247.5
72,502,8933,-975.5
73,1703,30430,-3553.0
74,407,7450,-959.0
75,107,2399,-156.0
76,97,1694,-241.5
77,228,3961,-543.5
78,278,4898,-578.5
79,113,1988,-141.0
80,127,2294,-156.0
81,190,3434,-473.5
82,53,996,-59.0
83,109,1910,-196.0
84,103,1796,-116.5
85,124,2162,-364.0
86,107,1883,-192.5
87,62,1096,-69.5
88,88,1667,-322.0
89,40,1014,-84.5
90,87,1886,-227.5
91,81,1402,-71.0
92,108,1898,-154.5
93,48,845,-129.5
94,49,855,-93.0
95,26,454,-65.0
96,33,580,-71.5
97,155,2718,-474.5
98,55,960,-212.0
99,60,1044,-85.0
100,45,786,-237.0
101,26,453,-48.5
102,107,1849,-366.0
103,43,736,-86.0
104,33,580,-16.5
105,56,1011,-190.0
106,65,1210,-70.5
107,61,1082,-103.5
108,40,711,-81.5
109,32,580,-35.5
110,67,1213,-93.0
111,64,1119,-126.0
112,50,893,-92.0
113,66,1181,-76.5
114,76,1352,-137.5
115,41,769,-139.0
116,36,626,-116.0
117,42,740,-46.5
118,23,395,-62.5
119,42,745,-46.0
120,27,462,-179.5
121,76,1632,-178.0
122,29,610,-107.0
123,30,528,-32.0
124,23,411,-99.0
125,18,334,-94.5
126,34,618,-75.0
127,38,675,-78.5
128,46,821,-107.0
129,39,683,-24.0
130,37,681,-77.0
131,27,490,-46.5
132,51,898,-208.0
133,27,479,-31.0
134,57,1014,-178.5
135,24,436,-6.5
136,27,469,-29.0
137,33,602,-94.5
138,56,975,-61.5
139,35,616,-38.0
140,20,365,-2.0
141,24,431,-82.0
142,36,645,-39.5
143,19,345,-38.5
144,24,427,-7.0
145,30,537,-13.5
146,28,491,-69.5
147,29,523,-32.0
148,26,501,-28.5
149,21,385,-21.5
150,23,418,-61.5
151,22,396,-6.0
152,28,491,-106.0
153,30,562,-14.5
154,22,391,-79.5
155,27,480,-9.0
156,23,412,-25.0
157,24,431,-7.5
158,23,409,-100.5
159,21,384,-60.5
160,23,434,-24.5
161,20,344,-22.0
162,21,372,-24.0
163,22,388,-61.0
164,32,545,-111.0
165,30,515,-52.0
166,16,276,-36.0
167,24,420,-83.0
168,21,371,-22.0
169,27,482,-30.5
170,23,417,-82.0
171,22,440,-23.0
172,21,389,-41.0
173,41,728,-85.5
174,41,727,-105.0
175,24,436,-6.5
176,25,441,-29.5
177,22,392,-43.5
178,23,408,-44.0
179,32,582,-15.0
180,25,447,-64.0
181,28,505,-11.5
182,24,465,-8.0
183,27,614,-48.0
184,26,681,-29.5
185,20,520,-21.5
186,23,489,-26.0
187,40,706,-100.0
188,20,350,-20.5
189,22,388,-4.5
190,21,376,-3.0
191,30,576,-13.0
192,24,426,-8.0
193,28,513,-88.0
194,23,407,-80.5
195,29,503,-51.5
196,25,443,-45.0
197,20,343,-21.5
198,23,410,-6.5
199,21,370,-40.5
200,26,464,-28.0
201,22,392,-4.0
202,24,415,-7.0
203,27,479,-67.0
204,20,351,-21.0
205,24,434,-44.0
206,23,409,-5.0
207,25,469,-43.5
208,17,328,-35.0
209,21,391,-2.0
210,19,339,-40.0
211,23,407,-5.5
212,26,442,-48.0
213,20,361,-39.5
214,22,388,-2.5
215,26,501,-45.0
216,21,377,-21.0
217,23,418,-23.5
218,21,380,-21.5
219,23,425,-23.5
220,20,360,-20.0
221,21,378,-3.0
222,29,512,-31.0
223,20,357,-21.5
224,24,448,-82.0
225,23,421,-23.5
226,30,648,-70.0
227,21,369,-22.0
228,29,503,-31.5
229,27,483,-9.5
230,30,531,-52.0
231,19,342,-0.5
232,23,401,-43.5
233,26,456,-48.0
234,23,415,-5.0
235,19,334,-38.0
236,23,410,-43.0
237,19,351,0.0
238,21,436,-21.0
239,23,408,-22.5
240,20,353,-1.5
241,19,338,0.0
242,23,405,-5.0
243,18,352,0.5
244,18,325,-19.0
245,20,354,-20.5
246,23,409,-44.0
247,22,393,-24.5
248,24,441,-6.0
249,18,328,-19.0
250,19,341,-1.0
251,18,325,0.5
252,20,360,-2.5
253,23,409,-23.5
254,24,429,-5.0
255,21,380,-3.0
256,19,328,0.0
257,26,451,-26.0
258,23,405,-4.0
259,22,439,-4.0
260,21,512,-2.0
261,19,448,0.0
262,19,410,0.0
263,19,437,0.0
264,19,359,-20.0
265,20,352,-21.0
266,20,352,-20.5
267,18,334,0.5
268,19,340,-20.0
269,18,319,0.5
270,18,316,0.5
271,21,360,-2.0
272,24,408,-63.5
273,21,370,-22.0
274,24,416,-6.0
275,19,337,-0.5
276,20,360,-2.0
277,19,342,-20.0
278,18,321,0.5
279,19,339,0.0
280,20,349,-20.0
281,18,315,0.0
282,20,362,-1.0
283,20,358,-0.5
284,19,349,0.0
285,21,376,-2.5
286,18,322,0.0
287,19,332,0.0
288,20,348,-2.5
289,18,320,0.0
290,18,322,0.5
291,18,325,0.5
292,18,361,0.0
293,20,357,-2.5
294,18,326,0.0
295,21,389,-21.5
296,18,313,0.0
297,18,312,-0.5
298,18,319,0.0
299,18,329,0.0
