ep_no,steps_taken,time_taken,rewards
,,,
0,131,1069,-123.4465
1,199,1568,-74.38159999999999
2,1590,11750,-669.8506761637941
3,287,2123,-138.45954531507613
4,428,3145,-216.71287845823127
5,519,3772,-373.9547934002355
6,836,6237,-647.4745961508148
7,177,1338,-157.85094003433957
8,461,3378,-470.79634421824716
9,202,1485,-174.57097607516798
10,435,3233,-478.9883328578118
11,644,4732,-759.5980787001267
12,341,2528,-554.1184681065329
13,348,2529,-399.32868604000765
14,414,3013,-664.0053895181564
15,487,3499,-665.9798324022493
16,704,5093,-1223.9255500027364
17,100,719,-198.14069291387375
18,401,3010,-726.673643846301
19,314,2288,-477.83089369251974
20,271,1994,-459.9713960511265
21,120,858,-208.63960849404572
22,593,4248,-1125.70236013335
23,337,2540,-705.7496826760769
24,293,2108,-574.1799874571577
25,644,4585,-1471.5916374683266
26,391,2831,-1015.4953679077142
27,173,1277,-411.22155907492095
28,275,1990,-585.2637033690722
29,621,4513,-1687.004194807404
30,61,443,-185.94558586942694
31,154,1112,-275.28215210437304
32,92,655,-222.813045281124
33,137,993,-350.2837639751779
34,414,2978,-1097.1145800562988
35,311,2236,-911.6538518947447
36,148,1076,-373.2958473656357
37,246,1757,-679.1825311004807
38,298,2184,-790.7894987128149
39,198,1447,-557.094910971603
40,161,1158,-441.0048057167682
41,113,818,-239.944734664624
42,393,2811,-1137.8622320581674
43,235,1678,-631.9197035313065
44,125,887,-287.9602749555766
45,347,2543,-1117.0594694136248
46,259,1884,-843.7524513374078
47,126,917,-354.1422755194885
48,518,3766,-1790.9386654124582
49,501,3717,-1736.8101919368446
50,159,1152,-475.8038143541242
51,75,562,-237.0675440878816
52,160,1144,-522.6493694462536
53,384,2798,-1329.8193643817233
54,406,2971,-1471.3728977499334
55,126,910,-440.0492531247802
56,73,529,-209.5524258439322
57,220,1593,-602.7115483053055
58,137,994,-586.6226717100604
59,251,1823,-920.5194891450919
60,87,656,-222.02174635170945
61,195,1447,-688.4396012214902
62,128,968,-450.91848572564925
63,115,859,-381.7960235405814
64,285,2082,-1156.3735058852906
65,121,886,-358.5092912974241
66,248,1812,-1115.0313473754438
67,98,729,-268.67718794998655
68,317,2298,-1255.0497763621431
69,108,777,-347.5187264774503
70,468,3540,-1928.2439314884662
71,165,1209,-565.6165669959269
72,109,791,-364.322685153932
73,386,2828,-1726.586870992636
74,116,890,-344.1897032316351
75,98,753,-305.5730318373654
76,143,1076,-606.180403626056
77,208,1567,-897.9167126373418
78,128,953,-485.5338146662408
79,68,502,-214.0871539754839
80,189,1452,-807.5512589201121
81,135,987,-491.2315324165134
82,169,1248,-740.5617729680395
83,161,1211,-663.5433318215775
84,51,372,-102.95575860152732
85,92,675,-385.60861901746136
86,137,1032,-561.913424123843
87,68,504,-237.69861880132513
88,250,1819,-1099.194750166916
89,136,999,-401.88548976067636
90,248,1870,-1073.615341716297
91,49,359,-94.9047244164657
92,121,889,-490.1773563416675
93,310,2244,-1516.8270477519961
94,50,358,-133.93097672452203
95,100,779,-450.40416877583203
96,123,933,-551.109702398088
97,139,1073,-651.2414368500608
98,140,1045,-612.8952117252578
99,74,537,-220.23292244719505
100,190,1395,-932.2924898856486
101,82,588,-322.27339357867874
102,187,1376,-859.3188634740121
103,63,463,-278.2554000269446
104,121,886,-546.707860910969
105,175,1289,-945.5025585298499
106,221,1624,-1045.7666954698768
107,61,446,-257.1113194666953
108,274,2001,-1386.430785903627
109,95,713,-360.3719326615128
110,92,673,-381.8282196567924
111,258,1875,-1426.6646871878422
112,135,974,-637.1940216894664
113,55,411,-228.46892375563624
114,15,114,-2.900805302502011
115,142,1044,-721.8556473958746
116,82,619,-342.34373514764735
117,123,907,-559.5255309630777
118,110,814,-553.926545325243
119,103,774,-458.7965699615422
120,261,1909,-1372.5775143715312
121,171,1237,-847.0904178599833
122,83,606,-407.97896036577686
123,75,548,-328.20312417416153
124,76,587,-294.9025792760714
125,145,1033,-822.0788401867106
126,110,791,-487.86629565467115
127,154,1135,-803.8859755564274
128,242,1798,-1277.3335390733482
129,253,1883,-1392.6011903939097
130,166,1214,-890.369013755311
131,34,246,-53.20447399897357
132,210,1559,-1198.1351196681637
133,98,713,-410.27689126320837
134,102,740,-560.7388192278615
135,135,1004,-717.7034527026127
136,220,1614,-1211.1313280089585
137,137,1009,-739.7632606423299
138,98,743,-506.3419893321005
139,103,749,-475.0763508403789
140,22,162,-16.59675274198643
141,96,695,-508.50026869985754
142,108,786,-604.00010865176
143,168,1222,-916.042609068506
144,41,302,-143.60802111222299
145,55,407,-247.693027855387
146,162,1225,-876.4478039480726
147,165,1235,-941.4679026921937
148,61,458,-274.789062671618
149,98,718,-522.3784718017189
150,55,405,-214.7435747217208
151,44,317,-131.23268822333748
152,64,484,-304.3897843906865
153,65,487,-181.85718263010213
154,143,1046,-806.2676982932685
155,36,267,-120.3094583589727
156,61,455,-283.33143434838394
157,145,1077,-808.1364852688447
158,172,1237,-1078.6113636235807
159,82,592,-405.81810553308526
160,48,347,-203.69149110441862
161,115,836,-640.0172611477939
162,66,475,-327.4128139117991
163,53,392,-237.98757082338324
164,102,770,-514.0719832131315
165,156,1150,-917.3306333179643
166,30,217,-175.51750427581825
167,76,547,-247.90705800644656
168,68,488,-354.22879185219296
169,90,642,-403.62801752448496
170,52,374,-239.99512060836923
171,67,482,-364.6589922703561
