ep,steps_taken,time_taken,rewards,epsilon
,,,,
0,1665,11581,-4419.5,0.598
1,468,3507,-1781.5,0.596
2,1898,13688,-5808.5,0.594
3,364,2683,-1437.0,0.592
4,62,459,-292.5,0.59
5,826,5963,-3378.5,0.588
6,111,796,-392.0,0.586
7,74,529,-157.5,0.584
8,1074,8014,-3895.0,0.582
9,417,3088,-1168.5,0.58
10,340,2470,-1105.0,0.578
11,56,394,-210.0,0.576
12,95,677,-296.0,0.574
13,241,1718,-723.5,0.572
14,255,1863,-818.0,0.57
15,82,627,-223.5,0.568
16,43,309,-124.0,0.566
17,81,602,-283.0,0.564
18,93,727,-310.0,0.5619999999999999
19,58,448,-123.5,0.5599999999999999
20,20,150,-81.5,0.5579999999999999
21,61,456,-107.0,0.5559999999999999
22,103,762,-439.0,0.5539999999999999
23,93,683,-166.5,0.5519999999999999
24,3645,27073,-6091.5,0.5499999999999999
25,67,517,-134.5,0.5479999999999999
26,358,2627,-993.5,0.5459999999999999
27,96,701,-182.5,0.5439999999999999
28,274,2008,-1093.0,0.5419999999999999
29,92,675,-335.0,0.5399999999999999
30,150,1129,-228.0,0.5379999999999999
31,223,1655,-385.5,0.5359999999999999
32,36,260,-153.0,0.5339999999999999
33,95,698,-274.0,0.5319999999999999
34,63,517,-313.5,0.5299999999999999
35,1328,9978,-1753.5,0.5279999999999999
36,981,7260,-1295.5,0.5259999999999999
37,759,5653,-868.0,0.5239999999999999
38,244,1799,-387.0,0.5219999999999999
39,589,4347,-907.0,0.5199999999999999
40,117,913,-393.5,0.5179999999999999
41,46,339,-70.5,0.5159999999999999
42,29,209,-143.5,0.5139999999999999
43,66,482,-168.0,0.5119999999999999
44,40,294,-138.5,0.5099999999999999
45,48,364,-53.5,0.5079999999999999
46,50,368,-114.0,0.5059999999999999
47,64,469,-241.0,0.5039999999999999
48,33,248,-34.0,0.5019999999999999
49,24,180,-82.5,0.4999999999999999
50,51,379,-283.0,0.4979999999999999
51,53,404,-153.0,0.4959999999999999
52,57,424,-179.5,0.4939999999999999
53,32,238,-223.5,0.4919999999999999
54,52,388,-230.5,0.4899999999999999
55,28,207,-89.0,0.4879999999999999
56,49,366,-265.5,0.4859999999999999
57,24,177,-44.5,0.4839999999999999
58,27,203,-124.5,0.4819999999999999
59,33,247,-39.0,0.47999999999999987
60,29,219,-70.0,0.47799999999999987
61,65,472,-192.5,0.47599999999999987
62,38,282,-62.0,0.47399999999999987
63,34,253,-59.0,0.47199999999999986
64,24,181,-64.5,0.46999999999999986
65,26,196,-123.5,0.46799999999999986
66,42,315,-106.0,0.46599999999999986
67,43,326,-144.5,0.46399999999999986
68,54,460,-100.0,0.46199999999999986
69,38,326,-117.5,0.45999999999999985
70,20,161,-41.0,0.45799999999999985
71,26,199,-49.0,0.45599999999999985
72,59,483,-238.0,0.45399999999999985
73,21,157,-116.5,0.45199999999999985
74,35,258,-60.0,0.44999999999999984
75,22,178,-80.0,0.44799999999999984
76,119,896,-515.5,0.44599999999999984
77,54,410,-173.5,0.44399999999999984
78,51,377,-58.5,0.44199999999999984
79,27,201,-125.5,0.43999999999999984
80,22,169,-21.5,0.43799999999999983
81,35,259,-75.5,0.43599999999999983
82,21,160,-22.5,0.43399999999999983
83,49,367,-131.5,0.43199999999999983
84,42,312,-49.0,0.4299999999999998
85,36,270,-192.5,0.4279999999999998
86,26,196,-85.5,0.4259999999999998
87,26,197,-9.0,0.4239999999999998
88,26,195,-48.5,0.4219999999999998
89,28,211,-87.5,0.4199999999999998
90,34,254,-35.0,0.4179999999999998
91,34,257,-171.5,0.4159999999999998
92,37,271,-22.0,0.4139999999999998
93,24,186,-26.0,0.4119999999999998
94,28,208,-67.5,0.4099999999999998
95,26,197,-28.0,0.4079999999999998
96,47,348,-188.0,0.4059999999999998
97,28,216,-12.0,0.4039999999999998
98,25,194,-47.0,0.4019999999999998
99,38,280,-44.0,0.3999999999999998
100,26,201,-26.0,0.3979999999999998
101,62,460,-260.5,0.3959999999999998
102,38,284,-119.0,0.3939999999999998
103,15,114,-73.0,0.3919999999999998
104,26,193,-66.0,0.3899999999999998
105,29,220,-128.5,0.3879999999999998
106,21,167,-40.5,0.3859999999999998
107,24,187,-44.5,0.3839999999999998
108,27,205,-48.0,0.3819999999999998
109,26,191,-121.5,0.3799999999999998
110,41,341,-85.5,0.3779999999999998
111,28,211,-69.0,0.3759999999999998
112,30,222,-147.5,0.3739999999999998
113,22,167,-42.0,0.3719999999999998
114,33,279,-56.5,0.3699999999999998
115,28,237,-9.0,0.36799999999999977
116,26,207,-47.5,0.36599999999999977
117,23,194,-24.5,0.36399999999999977
118,22,179,-43.0,0.36199999999999977
119,23,175,-46.0,0.35999999999999976
120,30,225,-33.0,0.35799999999999976
121,35,260,-59.0,0.35599999999999976
122,31,233,-34.5,0.35399999999999976
123,28,207,-69.0,0.35199999999999976
124,37,277,-98.5,0.34999999999999976
125,34,256,-37.0,0.34799999999999975
126,28,213,-87.5,0.34599999999999975
127,29,220,-89.5,0.34399999999999975
128,39,296,-101.0,0.34199999999999975
129,32,241,-56.5,0.33999999999999975
130,29,218,-165.0,0.33799999999999975
131,27,207,-68.5,0.33599999999999974
132,24,188,-25.5,0.33399999999999974
