ep,steps_taken,time_taken,rewards,epsilon
,,,,
0,1477,7137,-4280.5,0.598
1,179,897,-509.5,0.596
2,356,1772,-1207.5,0.594
3,248,1264,-819.0,0.592
4,245,1268,-862.0,0.59
5,283,1450,-622.0,0.588
6,49,248,-224.0,0.586
7,352,1806,-1050.5,0.584
8,303,1516,-860.0,0.582
9,660,3382,-1859.0,0.58
10,71,357,-154.5,0.578
11,339,1759,-500.5,0.576
12,58,286,-124.0,0.574
13,76,377,-194.5,0.572
14,47,240,-357.0,0.57
15,55,270,-174.0,0.568
16,68,338,-174.5,0.566
17,23,115,-81.5,0.564
18,58,296,-178.0,0.5619999999999999
19,65,329,-224.0,0.5599999999999999
20,96,506,-209.5,0.5579999999999999
21,62,308,-297.0,0.5559999999999999
22,75,371,-330.5,0.5539999999999999
23,19,116,-58.0,0.5519999999999999
24,39,221,-160.0,0.5499999999999999
25,91,499,-147.0,0.5479999999999999
26,51,274,-58.5,0.5459999999999999
27,34,192,-57.0,0.5439999999999999
28,92,464,-295.5,0.5419999999999999
29,54,275,-158.5,0.5399999999999999
30,79,398,-246.0,0.5379999999999999
31,63,318,-261.5,0.5359999999999999
32,41,210,-87.5,0.5339999999999999
33,56,284,-139.5,0.5319999999999999
34,48,257,-171.5,0.5299999999999999
35,48,241,-76.0,0.5279999999999999
36,55,281,-251.0,0.5259999999999999
37,24,122,-65.0,0.5239999999999999
38,35,177,-134.5,0.5219999999999999
39,76,382,-295.0,0.5199999999999999
40,35,176,-96.0,0.5179999999999999
41,53,271,-134.0,0.5159999999999999
42,73,398,-122.5,0.5139999999999999
43,53,289,-79.0,0.5119999999999999
44,60,305,-67.0,0.5099999999999999
45,36,189,-41.5,0.5079999999999999
46,27,138,-67.0,0.5059999999999999
47,38,190,-25.0,0.5039999999999999
48,44,224,-69.5,0.5019999999999999
49,38,191,-138.5,0.4999999999999999
50,31,159,-18.0,0.4979999999999999
51,41,209,-160.5,0.4959999999999999
52,40,202,-101.0,0.4939999999999999
53,36,185,-175.0,0.4919999999999999
54,26,135,-65.5,0.4899999999999999
55,32,164,-72.5,0.4879999999999999
56,32,167,-36.5,0.4859999999999999
57,37,191,-118.5,0.4839999999999999
58,51,259,-118.0,0.4819999999999999
59,45,228,-202.5,0.47999999999999987
