ep,steps_taken,time_taken,rewards,epsilon
,,,,
0,249,1303,-723.0,0.598
1,175,1160,-1011.5,0.596
2,271,1854,-651.0,0.594
3,456,3038,-925.0,0.592
4,169,1122,-477.5,0.59
5,385,2600,-820.5,0.588
6,300,1986,-966.5,0.586
7,169,1166,-623.0,0.584
8,152,1056,-475.0,0.582
9,398,2693,-997.5,0.58
10,48,328,-168.5,0.578
11,62,421,-218.0,0.576
12,111,763,-258.0,0.574
13,94,630,-297.0,0.572
14,101,677,-628.0,0.57
15,62,443,-164.5,0.568
16,51,350,-134.5,0.566
17,59,404,-201.0,0.564
18,79,552,-224.5,0.5619999999999999
19,31,211,-257.5,0.5599999999999999
20,32,222,-131.5,0.5579999999999999
21,78,533,-539.5,0.5559999999999999
22,68,506,-171.5,0.5539999999999999
23,49,332,-92.0,0.5519999999999999
24,69,473,-303.5,0.5499999999999999
25,118,818,-214.0,0.5479999999999999
26,138,1030,-578.0,0.5459999999999999
27,66,476,-168.5,0.5439999999999999
28,99,678,-171.5,0.5419999999999999
29,64,439,-283.0,0.5399999999999999
30,296,2036,-835.0,0.5379999999999999
31,49,335,-74.5,0.5359999999999999
32,78,520,-374.0,0.5339999999999999
33,69,461,-346.5,0.5319999999999999
34,98,662,-230.0,0.5299999999999999
35,230,1602,-835.0,0.5279999999999999
36,33,236,-148.0,0.5259999999999999
37,31,214,-70.0,0.5239999999999999
38,200,1360,-337.5,0.5219999999999999
39,657,4466,-909.5,0.5199999999999999
40,61,411,-184.0,0.5179999999999999
41,771,5334,-964.5,0.5159999999999999
42,78,534,-183.5,0.5139999999999999
43,65,434,-244.0,0.5119999999999999
44,1051,7209,-1480.5,0.5099999999999999
45,63,428,-258.5,0.5079999999999999
46,34,229,-154.0,0.5059999999999999
47,56,381,-116.0,0.5039999999999999
48,72,490,-254.0,0.5019999999999999
49,57,395,-197.0,0.4999999999999999
50,21,152,-21.5,0.4979999999999999
51,39,262,-122.0,0.4959999999999999
52,49,330,-130.5,0.4939999999999999
53,38,254,-214.0,0.4919999999999999
54,43,295,-85.5,0.4899999999999999
55,46,348,-75.0,0.4879999999999999
56,66,549,-168.5,0.4859999999999999
57,71,495,-270.5,0.4839999999999999
58,43,303,-105.5,0.4819999999999999
59,32,215,-54.5,0.47999999999999987
60,42,281,-88.0,0.47799999999999987
61,30,205,-88.0,0.47599999999999987
62,47,323,-110.0,0.47399999999999987
63,44,300,-104.0,0.47199999999999986
64,38,262,-118.5,0.46999999999999986
65,56,382,-197.0,0.46799999999999986
66,23,157,-6.5,0.46599999999999986
67,39,264,-81.0,0.46399999999999986
68,25,170,-10.0,0.46199999999999986
69,34,229,-22.0,0.45999999999999985
70,36,245,-41.5,0.45799999999999985
71,38,264,-118.5,0.45599999999999985
72,43,299,-68.5,0.45399999999999985
73,36,252,-41.0,0.45199999999999985
74,42,293,-198.0,0.44999999999999984
75,62,428,-222.0,0.44799999999999984
76,43,332,-165.5,0.44599999999999984
77,31,212,-73.0,0.44399999999999984
78,48,330,-76.5,0.44199999999999984
79,43,297,-88.5,0.43999999999999984
80,19,132,-114.0,0.43799999999999983
81,38,262,-79.5,0.43599999999999983
82,30,208,-72.5,0.43399999999999983
83,30,202,-90.5,0.43199999999999983
84,32,225,-16.5,0.4299999999999998
85,43,294,-88.0,0.4279999999999998
86,41,283,-46.5,0.4259999999999998
87,40,264,-216.0,0.4239999999999998
88,26,176,-104.0,0.4219999999999998
89,47,319,-93.0,0.4199999999999998
90,41,282,-102.5,0.4179999999999998
91,47,319,-135.0,0.4159999999999998
92,32,225,-94.5,0.4139999999999998
93,38,265,-83.0,0.4119999999999998
94,52,356,-191.5,0.4099999999999998
95,30,213,-33.5,0.4079999999999998
96,48,330,-150.5,0.4059999999999998
97,41,292,-46.5,0.4039999999999998
98,39,265,-215.0,0.4019999999999998
99,37,252,-60.0,0.3999999999999998
100,42,285,-124.5,0.3979999999999998
101,28,193,-144.0,0.3959999999999998
102,43,300,-163.0,0.3939999999999998
103,32,220,-55.5,0.3919999999999998
104,19,134,-20.0,0.3899999999999998
105,55,376,-157.5,0.3879999999999998
106,62,428,-168.0,0.3859999999999998
107,29,202,-52.0,0.3839999999999998
108,34,238,-37.5,0.3819999999999998
109,31,218,-112.0,0.3799999999999998
110,23,163,-25.0,0.3779999999999998
111,44,304,-88.0,0.3759999999999998
112,27,188,-66.5,0.3739999999999998
113,23,160,-80.5,0.3719999999999998
114,34,233,-75.0,0.3699999999999998
115,36,278,-40.0,0.36799999999999977
116,31,216,-14.5,0.36599999999999977
117,22,154,-62.5,0.36399999999999977
118,37,260,-81.5,0.36199999999999977
119,25,176,-45.0,0.35999999999999976
120,29,203,-52.0,0.35799999999999976
121,29,202,-48.5,0.35599999999999976
122,27,194,-30.5,0.35399999999999976
123,26,181,-86.5,0.35199999999999976
124,29,204,-13.5,0.34999999999999976
125,26,184,-85.0,0.34799999999999975
126,27,191,-28.0,0.34599999999999975
127,31,219,-71.0,0.34399999999999975
128,27,194,-10.0,0.34199999999999975
129,30,211,-52.0,0.33999999999999975
130,30,211,-33.5,0.33799999999999975
131,45,311,-109.0,0.33599999999999974
132,30,217,-127.5,0.33399999999999974
133,21,150,-22.0,0.33199999999999974
134,57,409,-195.5,0.32999999999999974
135,26,184,-48.0,0.32799999999999974
136,35,246,-75.5,0.32599999999999973
137,28,196,-51.0,0.32399999999999973
138,27,192,-46.5,0.32199999999999973
139,26,183,-29.5,0.31999999999999973
140,24,167,-64.0,0.3179999999999997
141,22,155,-43.0,0.3159999999999997
142,20,143,-2.0,0.3139999999999997
143,25,174,-26.5,0.3119999999999997
144,41,290,-195.5,0.3099999999999997
145,31,222,-72.0,0.3079999999999997
146,24,172,-26.5,0.3059999999999997
147,27,190,-8.5,0.3039999999999997
148,28,197,-142.5,0.3019999999999997
149,30,210,-12.5,0.2999999999999997
150,24,181,-7.5,0.2979999999999997
151,25,174,-27.5,0.2959999999999997
152,27,192,-66.0,0.2939999999999997
153,22,151,-79.0,0.2919999999999997
154,37,253,-79.5,0.2899999999999997
155,23,160,-24.5,0.2879999999999997
156,25,169,-44.5,0.2859999999999997
157,51,349,-153.5,0.2839999999999997
158,27,188,-27.5,0.2819999999999997
159,23,163,-25.5,0.2799999999999997
160,24,163,-64.0,0.2779999999999997
161,27,182,-48.5,0.2759999999999997
162,29,202,-50.0,0.2739999999999997
163,22,154,-60.5,0.2719999999999997
164,26,186,-27.5,0.2699999999999997
165,22,176,-62.5,0.2679999999999997
166,25,180,-7.0,0.2659999999999997
167,24,170,-28.0,0.2639999999999997
168,19,135,-1.0,0.2619999999999997
169,22,155,-41.0,0.2599999999999997
170,26,182,-29.0,0.2579999999999997
171,23,194,-23.5,0.2559999999999997
172,35,254,-41.0,0.25399999999999967
173,25,174,-46.0,0.25199999999999967
174,23,166,-42.5,0.24999999999999967
175,23,161,-25.0,0.24799999999999967
176,29,206,-31.5,0.24599999999999966
177,31,216,-32.5,0.24399999999999966
178,18,126,0.0,0.24199999999999966
179,29,202,-90.0,0.23999999999999966
180,18,127,0.5,0.23799999999999966
181,28,199,-106.5,0.23599999999999965
182,21,148,-21.5,0.23399999999999965
183,27,191,-28.0,0.23199999999999965
184,19,135,-19.0,0.22999999999999965
185,24,163,-26.5,0.22799999999999965
186,15,102,-53.0,0.22599999999999965
187,21,146,-22.0,0.22399999999999964
188,27,194,-8.0,0.22199999999999964
189,18,241,-18.0,0.21999999999999964
190,25,180,-26.5,0.21799999999999964
191,20,147,-1.5,0.21599999999999964
192,23,165,-25.5,0.21399999999999963
193,28,205,-32.0,0.21199999999999963
194,30,247,-90.5,0.20999999999999963
