ep_no,steps_taken,time_taken,rewards
,,,
0,294,1814,-923.5
1,440,2084,-1421.0
2,972,4697,-3800.0
3,754,3700,-2713.5
4,312,1511,-730.5
5,395,1925,-1409.0
6,150,722,-493.0
7,834,4045,-3090.0
8,120,574,-455.0
9,74,361,-384.5
10,389,1889,-1283.0
11,71,343,-284.0
12,82,398,-259.0
13,600,2881,-2322.0
14,104,497,-682.0
15,184,886,-809.0
16,106,506,-402.0
17,158,793,-1173.0
18,445,2152,-1380.0
19,471,2262,-1161.5
20,268,1304,-1113.5
21,225,1102,-970.5
22,339,1649,-1028.5
23,809,4135,-3225.5
24,230,1120,-970.0
25,415,2050,-1731.5
26,218,1068,-892.5
27,125,611,-535.5
28,370,1868,-1740.0
29,286,1452,-885.0
30,75,372,-117.5
31,146,717,-597.5
32,103,506,-415.0
33,97,475,-261.0
34,74,364,-287.0
35,82,408,-352.0
36,80,394,-257.0
37,145,727,-502.5
38,148,738,-393.0
39,129,632,-408.0
40,67,333,-299.0
41,29,150,-183.5
42,76,382,-348.0
43,75,371,-310.0
44,152,743,-700.0
45,55,268,-248.5
46,22,107,-80.5
47,150,732,-584.5
48,221,1121,-663.0
49,206,1018,-590.5
50,64,323,-220.5
51,66,437,-186.5
52,130,655,-559.5
53,33,168,-74.0
54,145,714,-485.0
55,102,514,-411.0
56,67,336,-167.0
57,50,251,-186.5
58,116,575,-580.5
59,40,200,-175.0
60,102,510,-320.5
61,115,583,-357.5
62,62,314,-262.0
63,19,96,-37.5
64,52,257,-245.5
65,24,122,-62.5
66,48,234,-150.5
67,53,261,-134.5
68,63,314,-128.5
69,87,435,-362.0
70,155,779,-481.0
71,66,356,-282.0
72,27,133,-179.5
73,21,105,-60.0
74,150,740,-410.5
75,147,737,-319.0
76,36,180,-193.0
77,31,173,-184.5
78,36,201,-153.5
79,15,89,-34.0
80,52,270,-169.0
81,26,130,-178.0
82,25,125,-85.0
83,29,147,-29.5
84,26,129,-142.5
85,32,165,-93.0
86,16,80,-72.5
87,39,193,-215.5
88,20,100,-41.0
89,23,113,-81.5
90,37,188,-98.0
91,30,151,-70.5
92,18,90,-57.5
93,36,182,-152.0
94,26,127,-67.0
95,15,74,-14.5
96,30,152,-88.0
97,23,113,-120.0
98,34,175,-132.5
99,51,257,-133.5
100,18,90,-76.5
101,44,217,-257.0
102,20,101,-20.5
103,23,114,-119.0
104,17,86,-35.5
105,34,172,-78.0
106,45,222,-104.0
107,41,203,-26.0
108,34,172,-111.0
109,18,91,-56.0
110,24,121,-64.5
111,56,280,-234.5
112,30,152,-11.5
113,66,330,-206.5
114,24,121,-44.5
115,34,170,-36.5
116,28,137,-87.0
117,24,128,-45.5
118,34,189,-94.0
119,34,186,-55.0
120,15,73,-54.0
121,32,158,-111.5
122,31,155,-90.5
123,22,106,-41.5
124,20,100,-40.5
125,39,191,-136.5
126,28,138,-89.0
127,27,140,-66.0
128,38,228,-99.0
129,45,227,-68.0
130,30,149,-92.0
131,29,145,-107.5
132,34,168,-58.5
133,17,84,-37.0
134,34,172,-93.5
135,34,181,-76.0
136,34,173,-37.5
137,19,93,-96.0
138,19,96,-1.0
139,18,89,-76.0
140,27,138,-85.0
141,21,108,-23.5
142,33,170,-92.5
143,26,136,-28.0
144,18,92,-56.5
145,17,88,-18.5
146,25,127,-47.0
147,32,165,-74.0
148,19,96,-39.0
149,24,122,-83.0
150,28,142,-126.5
151,29,149,-51.0
152,41,207,-103.0
153,16,80,-55.5
154,27,135,-9.0
155,17,84,-36.5
156,19,94,-78.0
157,28,140,-31.0
158,22,108,-118.0
159,33,164,-152.5
160,23,114,-6.0
161,22,110,-6.0
162,23,116,-6.0
163,28,139,-88.0
164,20,105,-21.5
165,11,57,-11.5
166,27,137,-11.0
167,25,125,-46.0
168,37,188,-136.0
169,24,118,-46.0
170,13,66,-33.5
171,31,160,-74.0
172,22,113,-44.0
173,21,110,-23.0
174,21,108,-23.0
175,18,89,-59.0
176,27,135,-50.5
177,31,156,-54.0
178,27,134,-68.0
179,33,170,-75.0
180,37,183,-118.5
181,24,122,-26.0
182,20,104,-21.5
183,18,93,-0.5
184,26,130,-66.0
185,22,113,-42.0
186,28,139,-69.5
187,23,117,-6.5
188,18,91,-19.0
189,18,90,-38.0
190,17,85,-37.5
191,25,125,-27.5
192,23,117,-7.5
193,33,164,-130.0
194,25,125,-65.0
195,15,76,-16.5
196,17,84,-56.0
197,25,126,-46.0
198,17,87,-18.5
199,19,98,-40.0
200,24,123,-8.0
201,19,99,-2.0
202,24,121,-44.0
203,27,133,-30.5
204,20,102,-2.5
205,20,102,-2.5
206,20,102,-2.5
207,18,96,-0.5
208,28,159,-51.5
209,21,106,-4.5
210,24,122,-45.5
211,25,125,-27.0
212,27,135,-87.0
213,20,102,-2.0
214,22,111,-43.0
215,22,113,-6.5
216,28,144,-30.0
217,20,101,-3.0
218,21,109,-43.0
219,19,97,-21.0
220,18,92,-19.5
221,20,101,-40.0
222,24,122,-8.0
223,11,56,-30.5
224,30,151,-15.5
225,18,92,-20.0
226,22,116,-44.0
227,22,114,-43.0
228,22,112,-4.0
229,22,110,-42.5
230,24,121,-45.5
231,23,120,-25.5
232,22,114,-23.0
233,18,91,-0.5
234,19,95,-20.5
235,26,132,-47.5
236,25,125,-26.5
237,21,109,-42.5
238,19,97,-1.0
239,21,106,-42.5
240,25,127,-64.5
241,20,100,-2.0
242,20,103,-3.5
243,20,101,-3.0
244,19,98,-1.0
245,23,116,-5.0
246,20,102,-3.0
247,21,108,-23.5
248,23,117,-5.0
249,23,116,-24.5
250,25,129,-26.5
251,21,109,-22.0
252,23,119,-5.5
253,23,119,-23.5
254,18,95,-0.5
255,12,62,-12.5
256,18,92,-0.5
257,22,111,-24.0
258,20,100,-41.5
259,21,106,-42.0
260,23,115,-26.0
261,21,114,-41.0
262,21,121,-3.0
263,18,104,-39.5
264,22,119,-23.0
265,20,102,-2.5
266,20,101,-22.0
