ep_no,steps_taken,time_taken,rewards
,,,
0,1462,8355,-6927.5
1,214,1354,-1112.0
2,339,2109,-1743.0
3,1151,7194,-5320.5
4,432,2782,-1853.5
5,412,2600,-1562.0
6,963,6233,-4395.5
7,325,2055,-1373.5
8,440,2776,-2136.5
9,811,5125,-3596.5
10,432,2720,-1846.5
11,153,984,-702.5
12,287,1802,-1256.0
13,178,1134,-540.5
14,88,548,-380.0
15,278,1792,-1095.0
16,112,712,-406.0
17,109,685,-477.5
18,305,2046,-1156.5
19,184,1167,-720.0
20,124,778,-759.5
21,46,295,-353.5
22,131,843,-729.0
23,254,1623,-1023.5
24,111,723,-411.0
25,138,914,-553.5
26,64,411,-182.5
27,100,645,-471.0
28,166,1070,-883.0
29,50,318,-189.5
30,59,385,-215.0
31,79,508,-273.5
32,28,177,-69.5
33,58,373,-272.0
34,101,644,-511.0
35,146,935,-580.0
36,59,383,-253.0
37,53,336,-244.0
38,145,936,-747.5
39,46,295,-257.5
40,48,306,-204.5
41,86,548,-396.0
42,66,420,-298.0
43,81,526,-239.5
44,42,269,-122.0
45,58,387,-121.5
46,50,320,-168.0
47,86,564,-243.0
48,13,88,-32.0
49,45,291,-124.5
50,59,379,-330.5
51,37,242,-98.0
52,45,297,-217.5
53,41,268,-253.0
54,124,795,-478.0
55,35,224,-152.5
56,144,917,-425.0
57,55,361,-192.0
58,105,672,-308.0
59,65,421,-277.5
60,138,887,-435.0
61,34,225,-75.0
62,49,322,-280.5
63,41,267,-82.5
64,22,145,-60.5
65,19,126,-96.5
66,36,229,-135.5
67,65,415,-296.5
68,15,98,-17.5
69,18,123,-38.5
70,43,277,-122.0
71,70,443,-248.5
72,51,336,-130.0
73,65,457,-188.5
74,68,440,-299.0
75,19,125,-38.0
76,43,274,-143.5
77,26,166,-104.5
78,49,310,-152.5
79,45,292,-88.0
80,55,355,-100.5
81,46,290,-147.5
82,33,215,-57.0
83,42,279,-123.5
84,53,344,-153.5
85,30,192,-164.5
86,64,418,-204.0
87,19,147,-59.0
88,39,271,-155.0
89,15,102,-74.5
90,31,199,-148.0
91,30,196,-72.0
92,34,225,-78.5
93,38,254,-99.0
94,22,140,-45.0
95,27,179,-12.0
96,17,111,-55.0
97,23,154,-64.5
98,14,92,-34.0
99,21,134,-118.5
100,31,203,-167.0
101,35,232,-115.5
102,31,218,-53.0
103,56,365,-197.0
104,27,176,-68.5
105,39,255,-46.0
106,32,208,-93.0
107,51,330,-135.5
108,52,335,-118.0
109,27,178,-49.5
110,41,269,-199.0
111,99,637,-229.0
112,36,240,-212.0
113,25,189,-8.5
114,73,494,-157.0
115,78,515,-182.0
116,51,336,-113.0
117,36,235,-151.5
118,35,237,-37.0
119,33,214,-92.5
120,24,153,-45.0
121,45,291,-145.5
122,22,141,-22.5
123,16,104,-55.5
124,30,197,-89.0
125,32,211,-55.5
126,42,274,-86.0
127,35,228,-77.5
128,17,112,-18.0
129,34,222,-154.0
130,45,295,-259.5
131,28,183,-90.0
132,27,178,-69.5
133,22,149,-61.5
134,15,101,-34.0
135,20,129,-40.0
136,18,119,-39.5
137,23,149,-81.0
138,39,251,-99.0
139,28,185,-32.5
140,29,191,-89.5
141,18,118,-76.0
142,39,251,-81.5
143,15,99,-17.5
144,29,188,-70.5
145,28,185,-123.5
146,14,92,-72.0
147,38,246,-137.5
148,16,106,-35.0
149,19,123,-79.0
150,35,221,-113.0
151,21,135,-24.5
152,21,138,-22.0
153,15,99,-34.0
154,40,257,-84.5
155,22,143,-61.5
156,44,282,-163.0
157,26,177,-46.5
158,16,109,-15.5
159,38,247,-100.5
160,15,97,-36.0
161,17,112,-73.5
162,27,178,-12.0
163,26,189,-68.0
164,54,388,-137.5
165,35,225,-132.5
166,69,444,-228.0
167,34,229,-16.0
168,18,118,-57.0
169,31,203,-53.5
170,35,226,-77.5
171,18,114,-36.5
172,18,122,-0.5
173,30,199,-71.0
174,29,191,-31.5
175,34,226,-73.0
176,53,358,-57.5
177,56,374,-100.5
178,30,197,-13.0
179,55,363,-96.5
180,43,293,-103.5
181,39,256,-44.0
182,32,213,-54.0
183,37,249,-57.0
184,26,173,-45.5
185,24,160,-25.5
186,30,204,-12.5
187,27,177,-11.5
188,25,171,-46.5
189,21,141,-61.0
190,12,80,-12.5
191,24,158,-6.5
192,20,135,-3.5
193,24,157,-7.5
194,29,195,-51.5
195,26,174,-66.0
196,27,181,-68.0
197,12,79,-12.5
198,21,142,-23.0
199,26,170,-11.0
200,16,106,-36.5
201,16,105,-18.0
202,27,178,-67.5
203,21,141,-22.5
204,25,167,-65.0
205,11,72,-31.5
206,22,149,-5.0
207,24,157,-28.5
208,18,121,-0.5
209,23,153,-44.5
210,20,139,-21.5
211,23,156,-43.0
212,23,156,-6.5
213,30,198,-90.5
214,13,88,-14.0
215,27,179,-48.5
216,23,153,-26.5
217,11,72,-12.0
218,27,182,-30.5
219,20,159,-21.5
220,18,125,-0.5
221,27,176,-67.0
222,21,138,-24.0
223,25,169,-46.0
224,26,185,-29.5
225,24,162,-65.0
226,17,118,-18.5
227,24,161,-65.0
228,21,144,-22.5
229,22,144,-42.0
230,29,193,-51.0
231,19,129,-20.5
232,22,151,-43.5
233,21,143,-22.5
234,19,132,-1.5
235,19,128,-21.5
236,19,130,-20.5
237,19,130,-20.5
238,19,132,-1.0
239,19,128,-20.5
240,18,124,-0.5
241,26,172,-9.0
242,22,145,-24.0
243,21,138,-41.5
244,23,151,-45.0
245,19,129,-21.0
246,18,123,-0.5
247,19,127,-21.0
248,21,141,-3.0
249,23,154,-5.5
250,18,122,-19.0
251,22,150,-43.0
252,20,139,-3.0
253,20,136,-40.0
254,18,122,-0.5
255,18,123,-0.5
256,19,128,-1.5
257,18,142,-1.0
258,18,140,-0.5
259,25,206,-27.0
260,20,134,-3.5
261,21,152,-4.0
262,18,130,-0.5
263,22,162,-25.5
264,21,149,-22.5
265,18,130,-0.5
266,18,124,-0.5
267,20,140,-3.5
268,22,150,-5.5
269,18,125,-0.5
270,18,124,-0.5
271,19,131,-1.5
272,25,169,-8.0
273,19,133,-1.0
274,19,138,-1.0
275,21,147,-2.0
276,22,147,-5.0
277,19,131,-1.0
278,19,128,-1.0
279,19,133,-1.0
280,18,125,-0.5
281,19,132,-1.5
282,19,129,-1.0
283,21,142,-22.5
284,19,128,-1.5
285,19,128,-1.5
286,19,127,-1.0
287,18,124,-0.5
288,19,136,-1.0
289,18,130,-0.5
290,20,151,-2.5
291,18,124,-0.5
292,18,123,-0.5
293,18,123,-0.5
294,20,138,-3.0
295,18,124,-0.5
296,18,126,-0.5
297,21,144,-4.0
298,18,123,-1.0
299,20,138,-2.0
